recursion, loop, algo, allowedP, trueP, n, sentinel, time, 
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 8192, 105.398, 0.0006192
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 9741, 50.2525, 0.0012555
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 11585, 102.396, 0.0013395
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 13777, 48.408, 0.0015831
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 16384, 83.2001, 0.0007545
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 19483, 75.1435, 0.0020706
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 23170, 57.7327, 0.0024615
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 27554, 131.97, 0.0024991
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 32768, 114.539, 0.0018007
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 38967, 204.035, 0.0044622
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 46340, 106.822, 0.0042342
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 55108, 91.965, 0.0048374
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 65536, 61.2098, 0.0029454
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 77935, 232.701, 0.0100066
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 92681, 34.833, 0.012491
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 110217, 158.456, 0.0114992
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 131072, 343.686, 0.0085498
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 155871, 106.199, 0.0185647
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 185363, 146.588, 0.0168267
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 220435, 118.499, 0.0157304
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 262144, 313.594, 0.0134863
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 311743, 382.887, 0.0344644
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 370727, 280.517, 0.0348583
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 440871, 118.337, 0.0304231
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 524288, 309.047, 0.0301124
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 623487, 655.52, 0.0673112
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 741455, 96.6169, 0.0717029
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 881743, 161.942, 0.0712565
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1048576, 550.877, 0.0652927
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1246974, 103.408, 0.160035
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1482910, 265.466, 0.170585
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1763487, 1022.81, 0.195771
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2097152, 1672.13, 0.163871
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2493948, 1085.24, 0.352715
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2965820, 473.371, 0.365341
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 3526975, 836.634, 0.411259
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4194304, 1679.33, 0.329155
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4987896, 768.932, 0.737071
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 5931641, 559.983, 0.766919
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 7053950, 1307.88, 0.846945
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 8388608, 2882.48, 0.772506
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 9975792, 3553.85, 1.45414
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 11863283, 1940.72, 1.53061
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 14107900, 1159.23, 1.64325
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 16777216, 3402.48, 1.40445
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 19951584, 2187.89, 2.98779
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 23726566, 3263.95, 3.19157
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 28215801, 3521.84, 3.25228
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 33554432, 4734.21, 2.92575
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 39903169, 1428.68, 5.99572
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 47453132, 1864.09, 6.26928
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 56431603, 2422.51, 6.67308
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 67108864, 4805.36, 6.07756
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 16, 5.08428, 0.0115531
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 19, 3.74151, 0.0001086
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 22, 2.7268, 5.84e-05
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 26, 3.69267, 5.8e-05
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 32, 5.12512, 7.66e-05
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 38, 10.1649, 0.0001412
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 45, 4.59897, 0.0001371
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 53, 6.24848, 0.0001619
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 64, 8.48267, 0.0001787
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 76, 0.649002, 0.0002648
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 90, 6.17745, 0.0002618
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 107, 4.0058, 0.0002921
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 128, 6.99139, 0.0003764
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 152, 12.8346, 0.0003417
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 181, 3.00734, 0.0003468
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 215, 3.89364, 0.0003785
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 256, 7.77228, 0.0004784
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 304, 6.2474, 0.0004868
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 362, 12.3514, 0.0005328
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 430, 11.1336, 0.0007443
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 512, 6.38456, 0.0006455
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 608, 18.3453, 0.0009055
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 724, 6.05831, 0.0008333
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 861, 5.95193, 0.0008938
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1024, 15.0743, 0.001071
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1217, 25.349, 0.0013803
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1448, 22.9566, 0.0015601
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 1722, 15.9214, 0.0018543
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2048, 50.2559, 0.0018037
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2435, 31.2571, 0.0029823
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 2896, 13.6187, 0.0031307
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 3444, 16.7054, 0.0029782
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4096, 41.5433, 0.0040169
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 4870, 84.8676, 0.0062971
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 5792, 20.4682, 0.0069266
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 6888, 44.0272, 0.0070418
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 8192, 105.398, 0.0072486
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 9741, 50.2525, 0.0133135
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 11585, 102.396, 0.0134141
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 13777, 48.408, 0.0171902
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 16384, 83.2001, 0.0155977
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 19483, 75.1435, 0.028013
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 23170, 57.7327, 0.0260357
64 - 1, hpce.fast_fourier_transform_combined, 8, 8, 27554, 131.97, 0.0283522
